Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\wulpus\hw\wulpus_acquisition_pcb\Project Outputs for wulpus_acq_pcb\Pick Place\Pick Place for PCB1(Fabrication_ready).txt

========================================================================================================================
File Design Information:

Date:       17.01.25
Time:       17:41
Revision:   5cd4fb9cbb34e9d9febb728bbc69f99c0eff6a20
Variant:    Fabrication_ready
Units used: mm

Designator Comment                     Layer       Footprint                                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                    
P2         GRPB031VWVN-RC              TopLayer    SLIN-GRPB031VWVN-RC_V                                      11.2250      16.7450      90       "Male Header, Pitch 1.27 mm, 1 x 3 Position, Height 4 mm, Tail Length 2.3 mm, -40 to 105 degC, RoHS, Bulk"                                                     
P1         GRPB031VWVN-RC              TopLayer    SLIN-GRPB031VWVN-RC_V                                      16.5250      22.9750      0        "Male Header, Pitch 1.27 mm, 1 x 3 Position, Height 4 mm, Tail Length 2.3 mm, -40 to 105 degC, RoHS, Bulk"                                                     
L11        742792040                   BottomLayer SMD-0805                                                   41.3750      14.3250      180      "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 600 Ohm"                                                                                                         
L10        742792040                   BottomLayer SMD-0805                                                   39.9000      19.2500      180      "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 600 Ohm"                                                                                                         
L9         742792040                   BottomLayer SMD-0805                                                   25.1000      7.8000       90       "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 600 Ohm"                                                                                                         
L8         742792040                   BottomLayer SMD-0805                                                   38.7500      3.2000       90       "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 600 Ohm"                                                                                                         
L5         LQG15HS3N9B02D              BottomLayer INDC1005X45N                                               8.6000       10.6500      180      "Inductor RF Chip Thin Film 3.9nH 0.1nH 500MHz 13Q-Factor 170mA 500mOhm DCR 0402 Paper T/R"                                                                    
L4         LQW15AN15NJ00D              BottomLayer FP-LQW15AN_00-W0_6-0_1-MFG                                 17.5000      18.2500      180      "Wire Wound RF Inductor 15nH ±5% 460mA 0.16O 0402 (1005)"                                                                                                      
L3         L0603B100KDWFT              BottomLayer L0603B100KDWFT                                             17.7250      16.2600      90       "Inductor RF Chip Wirewound 10uH 10% 2.52MHz 0.38A 0.36Ohm DCR 0603 T/R"                                                                                       
L2         DFE201612E-2R2M=P2          TopLayer    INDC2016X10L                                               13.8750      17.5200      270      "2.2µH Shielded Wirewound Inductor 1.8A 116mOhm Max 0806 (2016 Metric)"                                                                                        
L1         DFE201612E-2R2M=P2          TopLayer    INDC2016X10L                                               22.7050      18.5000      0        "2.2µH Shielded Wirewound Inductor 1.8A 116mOhm Max 0806 (2016 Metric)"                                                                                        
J4         LSHM-120-02.5-L-DV-A-N-K-TR TopLayer    SAMTEC_LSHM-120-XX.X-X-DV-A-N-XX                           18.3500      3.0500       180      "Conn Socket and Terminal Strip HDR/SKT 40 POS 0.5mm Solder ST SMD T/R"                                                                                        
J1         629105136821                TopLayer    629105136821                                               2.8375       18.5000      270      "Micro USB 2.0 Type B Receptacle WR-COM, Horizontal, SMT, with Pads and Pegs"                                                                                  
FB2        BLM03AX800SN1D              TopLayer    MURA-BLM03-CHIP-2_V                                        14.2250      15.6500      180      "Chip Ferrite Bead for Power lines and Signal Lines, 80 Ohm, 500 mA, -55 to 125 degC, 0.6 x 0.3 x 0.33 mm SMD, Tape and Reel"                                  
FB1        BLM03AX800SN1D              TopLayer    MURA-BLM03-CHIP-2_V                                        24.4750      19.6000      270      "Chip Ferrite Bead for Power lines and Signal Lines, 80 Ohm, 500 mA, -55 to 125 degC, 0.6 x 0.3 x 0.33 mm SMD, Tape and Reel"                                  
E1         NN03-320                    BottomLayer NN03-320                                                   1.8000       3.8000       90       "Integrated Chip Antenna"                                                                                                                                      
D2         APHD1608LZGCK               TopLayer    FP-APHD1608LZGCK-MFG                                       26.0000      12.7500      0        "LED GREEN CLEAR 1608 SMD"                                                                                                                                     
D1         APHD1608LZGCK               TopLayer    FP-APHD1608LZGCK-MFG                                       8.8500       2.1000       180      "LED GREEN CLEAR 1608 SMD"                                                                                                                                     
C51        CC0402KRX7R7BB104           TopLayer    FP-CC0402-MFG                                              10.6500      11.5750      0        "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
C50        C1608X5R1A106K080AC         TopLayer    FP-C1608-080-MFG                                           12.0250      10.5500      0        "CAP CER 10UF 10V X5R 0603"                                                                                                                                    
C49        CC0402KRX7R7BB104           TopLayer    FP-CC0402-MFG                                              9.9500       10.3750      270      "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                   
